Объект1_Бинарный,Объект1_Форма,Объект1_Направление,Объект1_Угол,Объект2_Бинарный,Объект2_Форма,Объект2_Направление,Объект2_Угол,Коллизия
0,Куб,Право,28.822150341115886,0,Сфера,Вперед,156.69863812542366,Да
0,Сфера,Лево,264.01323811987083,1,Пирамида,Лево,251.79487415238063,Да
0,Куб,Право,344.59031974868867,0,Сфера,Лево,106.95290829626019,Да
0,Куб,Право,156.64092629342036,0,Пирамида,Лево,85.3639962847746,Да
1,Сфера,Назад,117.93107189724185,1,Сфера,Право,18.96665429554805,Да
1,Куб,Лево,217.63687227510863,0,Куб,Назад,338.3502306791181,Нет
1,Куб,Назад,127.60941147164901,1,Пирамида,Лево,144.73707487942073,Нет
0,Сфера,Вперед,3.859135140166039,1,Пирамида,Назад,190.64223375463826,Да
0,Куб,Лево,213.76475334237082,1,Куб,Назад,144.65954878999554,Нет
0,Пирамида,Право,97.40892104562379,1,Сфера,Лево,207.50904994828727,Нет
1,Сфера,Вперед,256.0646410188864,1,Куб,Назад,324.45026657673804,Да
1,Куб,Вперед,56.944151680984646,1,Куб,Лево,312.6556061047813,Да
1,Куб,Право,4.568125346467156,0,Куб,Право,164.14012581834427,Да
1,Сфера,Назад,79.81747064308726,0,Сфера,Право,329.91634338836485,Да
0,Куб,Назад,107.4285316545094,1,Сфера,Право,210.0321742388876,Да
1,Куб,Право,221.86422706506028,0,Куб,Вперед,56.13593239255433,Да
0,Пирамида,Назад,20.77276905250439,0,Куб,Назад,189.6673352706942,Нет
1,Сфера,Назад,265.5000958114804,1,Куб,Лево,300.39666797065496,Нет
1,Куб,Вперед,63.35811478395263,1,Пирамида,Назад,97.68316455814951,Да
1,Сфера,Назад,270.9985411020426,0,Сфера,Назад,295.34057051394944,Нет
1,Сфера,Вперед,67.1728016072316,0,Сфера,Право,151.37737928033064,Нет
1,Сфера,Лево,268.6741826520602,0,Сфера,Вперед,349.2878413192771,Да
0,Куб,Лево,68.10601765452253,1,Пирамида,Назад,243.84586382924118,Да
0,Сфера,Назад,121.79674767440638,0,Пирамида,Вперед,108.20384493988752,Да
1,Сфера,Лево,282.22883293181167,1,Куб,Лево,55.94455854229992,Да
1,Пирамида,Назад,66.6937316748937,0,Сфера,Право,317.5475869057311,Нет
1,Сфера,Лево,58.553779880095405,0,Пирамида,Право,336.48530445509437,Да
1,Куб,Назад,212.16583832578937,0,Сфера,Вперед,30.00815889960526,Да
1,Сфера,Право,267.592187030777,0,Сфера,Лево,215.4085266630909,Да
1,Сфера,Вперед,203.9268820672566,1,Пирамида,Назад,82.73020502077841,Нет
1,Сфера,Назад,281.7334530173907,0,Пирамида,Право,228.93096330252627,Да
0,Сфера,Вперед,197.21546330706883,0,Пирамида,Право,229.5681495877023,Нет
1,Пирамида,Назад,130.14820590407857,1,Куб,Лево,333.2029542576359,Да
1,Сфера,Вперед,219.3612819217217,0,Сфера,Право,345.3436813653294,Да
0,Сфера,Лево,332.47334336375457,1,Куб,Право,2.82733026909217,Да
0,Пирамида,Право,330.7806338697785,1,Сфера,Вперед,176.21784475101626,Нет
1,Куб,Лево,251.45035541985052,1,Пирамида,Вперед,297.817013205114,Да
1,Пирамида,Лево,97.39484454700633,0,Сфера,Лево,243.7340557376037,Нет
0,Пирамида,Право,245.21640534215902,1,Сфера,Право,186.76643407705313,Нет
1,Сфера,Лево,22.388753012016846,1,Сфера,Лево,293.88526652425463,Нет
1,Сфера,Вперед,7.684601440482397,0,Пирамида,Право,153.9014532387787,Да
0,Сфера,Вперед,52.31624192454948,0,Пирамида,Право,281.46830904569805,Да
0,Куб,Право,60.03523356264468,1,Куб,Право,174.19842162525646,Нет
1,Куб,Назад,8.51294918476004,1,Сфера,Назад,151.20926367391093,Нет
0,Куб,Право,172.338658833404,1,Сфера,Назад,5.428443298806331,Нет
1,Пирамида,Вперед,344.32299276399544,0,Куб,Лево,251.03911658244775,Нет
0,Сфера,Право,322.8912986755684,0,Куб,Вперед,134.01966806530535,Нет
0,Куб,Лево,213.85527497958049,1,Сфера,Назад,23.198332816935586,Нет
0,Куб,Вперед,352.50641855462516,0,Куб,Вперед,231.8668526356687,Нет
1,Пирамида,Вперед,295.8550173659245,1,Сфера,Лево,12.708940357586318,Да
0,Куб,Право,290.668838229115,0,Сфера,Право,85.67027875710521,Нет
0,Куб,Назад,86.63187070627467,1,Пирамида,Лево,299.59167933027726,Да
1,Сфера,Право,329.59681222929225,1,Пирамида,Право,27.707789992881892,Да
1,Куб,Право,56.875106310075964,1,Пирамида,Лево,56.0412682478257,Да
0,Пирамида,Лево,17.25116790443678,1,Куб,Назад,135.43291068773584,Да
0,Пирамида,Вперед,15.482383875910646,1,Пирамида,Назад,68.69429854572213,Нет
