Объект1_Бинарный,Объект1_Форма,Объект1_Направление,Объект1_Угол,Объект2_Бинарный,Объект2_Форма,Объект2_Направление,Объект2_Угол,Коллизия
1,Пирамида,Вперед,307.12341130026107,0,Сфера,Вперед,349.812707797116,Да
0,Куб,Лево,104.62579196552772,1,Куб,Право,298.0952623470127,Нет
0,Сфера,Вперед,331.31768132615974,1,Куб,Вперед,138.76306238104024,Нет
0,Куб,Вперед,217.93756079688438,1,Сфера,Назад,101.99439436418167,Нет
1,Сфера,Назад,50.69127836326216,1,Куб,Лево,38.06216835204346,Да
1,Куб,Назад,81.39007312486802,1,Сфера,Право,201.12272170009373,Нет
0,Куб,Назад,83.79849375658644,1,Пирамида,Лево,161.36290661263018,Нет
0,Куб,Лево,345.9177848777909,1,Куб,Вперед,162.75018064907093,Нет
0,Куб,Назад,11.285207793673377,0,Сфера,Право,204.33950571467716,Да
0,Сфера,Назад,285.27183725840507,0,Сфера,Назад,151.98395719302707,Нет
1,Сфера,Назад,177.75580357230078,1,Куб,Лево,299.3961614746055,Нет
1,Сфера,Лево,77.20819684951378,0,Сфера,Назад,309.64693176386885,Нет
1,Сфера,Вперед,87.64311629359902,0,Куб,Лево,123.11669582595773,Нет
0,Куб,Право,344.37976134148175,1,Куб,Право,44.55008586324448,Да
1,Куб,Лево,74.06865236110072,0,Сфера,Вперед,263.5664961358559,Да
0,Сфера,Вперед,322.2455907395004,0,Куб,Лево,359.6582094507816,Да
1,Сфера,Лево,212.3669516592284,1,Пирамида,Назад,313.4462947010228,Нет
1,Куб,Вперед,356.41548839403225,0,Пирамида,Лево,118.90781831800005,Нет
1,Сфера,Вперед,343.6078189527975,1,Сфера,Вперед,185.4230328793002,Нет
1,Куб,Назад,335.54998928910226,0,Пирамида,Право,141.31933393452442,Нет
1,Пирамида,Право,109.2398316113429,0,Сфера,Вперед,46.342730457325985,Нет
1,Пирамида,Право,154.62689244221036,1,Сфера,Право,86.83615368867616,Да
1,Пирамида,Лево,306.63561448073176,0,Пирамида,Назад,358.2013108163234,Нет
1,Куб,Право,80.08022754603482,0,Сфера,Право,331.01920448423755,Да
1,Сфера,Вперед,271.79296930895214,1,Сфера,Право,247.50519995362254,Нет
1,Сфера,Вперед,113.5980518594427,1,Сфера,Лево,328.1865312753018,Нет
1,Куб,Вперед,238.4198867453523,0,Куб,Лево,311.73273711334645,Да
0,Сфера,Право,302.3308730835396,0,Сфера,Лево,216.6514015913189,Да
0,Сфера,Вперед,269.2522467352646,1,Сфера,Лево,247.7668206384674,Да
1,Пирамида,Право,34.61799206713948,1,Куб,Лево,169.4026165681038,Нет
1,Куб,Назад,31.856612942013648,1,Сфера,Вперед,305.66231441902977,Нет
0,Сфера,Лево,226.49809335282208,1,Пирамида,Вперед,142.03426498604222,Да
1,Куб,Назад,176.04321027504352,0,Куб,Вперед,283.85864141303614,Да
0,Сфера,Вперед,115.57364889946084,1,Сфера,Назад,75.85373409434632,Нет
0,Куб,Лево,275.6602341849718,1,Куб,Право,253.33575222252625,Нет
1,Куб,Вперед,220.0452372647915,0,Куб,Назад,75.3414057765975,Нет
0,Пирамида,Лево,265.64655964700705,1,Сфера,Лево,326.66077780412206,Нет
0,Пирамида,Лево,288.2450405874939,1,Куб,Назад,122.3687178177005,Да
0,Сфера,Назад,280.81145915977044,1,Пирамида,Право,175.3330735715213,Нет
0,Пирамида,Право,325.4531458449815,1,Сфера,Вперед,228.05429764962034,Нет
0,Куб,Назад,209.10943934190072,0,Куб,Вперед,205.07671841655542,Нет
1,Пирамида,Лево,117.58062138676407,1,Куб,Вперед,283.2637984237128,Да
0,Сфера,Право,207.4996502977106,0,Сфера,Назад,249.29098782869718,Да
0,Сфера,Назад,224.16866881332115,0,Куб,Назад,173.3507605419879,Да
0,Сфера,Назад,46.379452739858,0,Куб,Право,347.1835621906446,Да
1,Пирамида,Вперед,271.4541602367357,1,Куб,Лево,82.83109614347046,Да
0,Сфера,Право,238.370794245272,0,Куб,Назад,273.6600803267251,Да
0,Сфера,Право,67.67914815159185,0,Куб,Право,160.05409855180773,Нет
1,Куб,Право,211.47571082340698,0,Куб,Назад,162.13411576357922,Да
0,Пирамида,Право,314.8567569277856,0,Пирамида,Лево,161.38198030950846,Нет
0,Сфера,Лево,51.35763763566471,0,Куб,Вперед,99.47588610689482,Нет
1,Сфера,Назад,290.410474367329,1,Куб,Назад,257.2905563042262,Нет
0,Куб,Вперед,196.02179650244796,0,Пирамида,Право,198.11627679939642,Да
